IN, AIBL,0
IN, AIBR,1
IN, AVAL,2
IN, AVAR,3
IN, AVBL,4
IN, AVBR,5
IN, AVDL,6
IN, AVDR,7
IN, PVCL,8
IN, PVCR,9
IN, RIML,10
IN, RIMR,11
IN, RIVL,12
IN, RIVR,13
IN, SMDDL,14
IN, SMDDR,15
IN, SMDVL,16
IN, SMDVR,17
IN,DD01,18
IN,DD02,19
IN,DD03,20
IN,DD04,21
IN,DD05,22
IN,DD06,23
IN,VD01,24
IN,VD02,25
IN,VD03,26
IN,VD04,27
IN,VD05,28
IN,VD06,29
IN,VD07,30
IN,VD08,31
IN,VD09,32
IN,VD10,33
IN,VD11,34
IN,VD12,35
IN,VD13,36
MN, DA01,0
MN, DA02,1
MN, DA03,2
MN, DA04,3
MN, DA05,4
MN, DA06,5
MN, DA07,6
MN, DA08,7
MN, DA09,8
MN, DB01,9
MN, DB02,10
MN, DB03,11
MN, DB04,12
MN, DB05,13
MN, DB06,14
MN, DB07,15
MN, VA01,16
MN, VA02,17
MN, VA03,18
MN, VA04,19
MN, VA05,20
MN, VA06,21
MN, VA07,22
MN, VA08,23
MN, VA09,24
MN, VA10,25
MN, VA11,26
MN, VA12,27
MN, VB01,28
MN, VB02,29
MN, VB03,30
MN, VB04,31
MN, VB05,32
MN, VB06,33
MN, VB07,34
MN, VB08,35
MN, VB09,36
MN, VB10,37
MN, VB11,38
SN, ALML,0
SN, ALMR,1
SN, AVM,2
BS,MDL01,0
BS,MDL02,1
BS,MDL03,2
BS,MDL04,3
BS,MDL05,4
BS,MDL06,5
BS,MDL07,6
BS,MDL08,7
BS,MDL09,8
BS,MDL10,9
BS,MDL11,10
BS,MDL12,11
BS,MDL13,12
BS,MDL14,13
BS,MDL15,14
BS,MDL16,15
BS,MDL17,16
BS,MDL18,17
BS,MDL19,18
BS,MDL20,19
BS,MDL21,20
BS,MDL22,21
BS,MDL23,22
BS,MDL24,23
BS,MDR01,24
BS,MDR02,25
BS,MDR03,26
BS,MDR04,27
BS,MDR05,28
BS,MDR06,29
BS,MDR07,30
BS,MDR08,31
BS,MDR09,32
BS,MDR10,33
BS,MDR11,34
BS,MDR12,35
BS,MDR13,36
BS,MDR14,37
BS,MDR15,38
BS,MDR16,39
BS,MDR17,40
BS,MDR18,41
BS,MDR19,42
BS,MDR20,43
BS,MDR21,44
BS,MDR22,45
BS,MDR23,46
BS,MDR24,47
BS,MVL01,48
BS,MVL02,49
BS,MVL03,50
BS,MVL04,51
BS,MVL05,52
BS,MVL06,53
BS,MVL07,54
BS,MVL08,55
BS,MVL09,56
BS,MVL10,57
BS,MVL11,58
BS,MVL12,59
BS,MVL13,60
BS,MVL14,61
BS,MVL15,62
BS,MVL16,63
BS,MVL17,64
BS,MVL18,65
BS,MVL19,66
BS,MVL20,67
BS,MVL21,68
BS,MVL22,69
BS,MVL23,70
BS,MVR01,71
BS,MVR02,72
BS,MVR03,73
BS,MVR04,74
BS,MVR05,75
BS,MVR06,76
BS,MVR07,77
BS,MVR08,78
BS,MVR09,79
BS,MVR10,80
BS,MVR11,81
BS,MVR12,82
BS,MVR13,83
BS,MVR14,84
BS,MVR15,85
BS,MVR16,86
BS,MVR17,87
BS,MVR18,88
BS,MVR19,89
BS,MVR20,90
BS,MVR21,91
BS,MVR22,92
BS,MVR23,93
BS,MVR24,94
